name,display_name,user_id,bio,followers_count,following_count,acct_created,location
RepJoeKennedy,Rep. Joe Kennedy III,1055907624,"Official Twitter account of Congressman Joe Kennedy III, representing Massachusetts' 4th Congressional District.",395495,671,2013-01-02 19:33:36,
RepRoKhanna,Rep. Ro Khanna,816298918468259841,"Representing #CA17 in Silicon Valley. Working to create tech & manufacturing jobs locally & across America. No contributions from PACs, lobbyists. Obama alum.",10132,365,2017-01-03 15:03:23,"Silicon Valley, CA"
stabenow,Debbie Stabenow,20113797,Senator Stabenow proudly represents the great State of Michigan in the U.S. Senate.,37817,245,2009-02-05 01:56:00,
BillMoyers,BillMoyers.com,15667291,Making sense of what matters. Tweets from the producers & occasionally Bill Moyers (/BM). http://t.co/JZ4aLWHcbA,161166,1336,2008-07-30 22:35:38,
SenatorHeitkamp,Sen. Heidi Heitkamp,1061029050,"Official Twitter account for Heidi Heitkamp, U.S. Senator for #NorthDakota. Learn more on Facebook: https://t.co/ju1vFjQSEQ Instagram: https://t.co/ceKF69m637",65223,771,2013-01-04 17:57:48,
RepLipinski,Rep. Daniel Lipinski,1009269193,Proudly representing the people of Illinois' 3rd Congressional District. Follow me on Facebook at http://t.co/The2w76j,10576,891,2012-12-13 17:03:06,
RepCuellar,Rep. Henry Cuellar,210926192,Serving the 28th District of Texas in U.S. House of Representatives,20298,2085,2010-11-01 20:20:17,"Laredo, Texas / Washington DC"
MurrayCampaign,Senator Patty Murray,158470209,Senior U.S. Senator from the great state of Washington.,15703,401,2010-06-22 19:55:00,
RepHastingsFL,Alcee L. Hastings,2433737761,Congressman Alcee L. Hastings represents parts of Broward and Palm Beach counties in the U.S. House of Representatives.,14341,244,2014-04-08 14:53:21,Florida 20th
RepGraceMeng,Grace Meng,1051127714,"Representing NY's 6th Congressional District - Parts of West, Central and Northeast Queens.  For specific questions or concerns, please contact my office.",21071,690,2012-12-31 20:28:41,
RepTimWalz,Rep. Tim Walz,1262814457,"Teacher, Football Coach, Command Sgt. Major Proudly Representing Minnesota's 1st Congressional District; Ranking Member of House @VetAffairsDems",11440,2782,2013-03-12 20:27:45,
brianschatz,Brian Schatz,47747074,United States Senator from Hawaii. Dad. Climate Hawk. Tech Advocate. Appropriator. Chief Deputy Whip.,78513,2004,2009-06-16 21:54:28,"ÜT: 19.72105,-155.087417"
RepBRochester,Rep. Blunt Rochester,817050219007328258,Official Twitter page for U.S. Representative Lisa Blunt Rochester (D-DE). Tweets from Rep. Blunt Rochester signed -LBR.,3557,292,2017-01-05 16:48:47,"Delaware, USA - Washington, DC"
scATX,Jessica Luther,172869874,journalist/writer/author (Unsportsmanlike Conduct: College Football and Politics of Rape) || co-host @burnitdownpod || email: https://t.co/Htl88tLnxM,32196,2633,2010-07-30 20:36:56,"austin, tx"
RepKClark,Katherine Clark,2293131060,Proudly representing the people of the 5th District of Massachusetts.,58609,1022,2014-01-15 18:53:47,
GeorgeTakei,George Takei,237845487,"Some know me as Mr. Sulu from Star Trek but I hope all know me as a believer in, and a fighter for, the equality and dignity of all human beings.",2831761,651,2011-01-13 19:33:56,"Broadway - New York, NY"
RepMcNerney,Jerry McNerney,385429543,Proudly representing California's 9th Congressional District. Learn more about my work in Congress at http://t.co/MbFWXH7J,18843,563,2011-10-05 13:52:58,"Stockton, CA"
PalmerReport,Palmer Report,15115280,"Palmer Report: timely, accurate, honest political journalism. Blocked by Donald Trump Jr, Sebastian Gorka, and Roger Stone. https://t.co/1OJ2cVGZGu",110357,32813,2008-06-14 07:46:44,"Los Angeles, CA"
TheRoot,The Root,23995748,The Root is a digital magazine that provides thought-provoking commentary and news from a variety of black perspectives.,403889,14624,2009-03-12 18:09:36,"New York, NY"
RepTimRyan,Congressman Tim Ryan,13491312,Congressman for Ohio’s 13th District,50862,2337,2008-02-14 21:57:32,"Warren, OH"
RepDavidEPrice,David E. Price,155669457,"I am proud to represent NC's 4th Congressional District, which includes Orange and parts of Wake and Durham Counties.",20673,2431,2010-06-14 19:44:06,
RepStephenLynch,Rep. Stephen Lynch,310310133,The official Twitter account of Congressman Stephen F. Lynch. Proudly serving the 8th Congressional District of Massachusetts.,15737,385,2011-06-03 14:48:36,"Washington, D.C. / Boston, MA"
SenGillibrand,Kirsten Gillibrand,72198806,"Theo and Henry's mom, U.S. Senator from New York, author of NYT bestseller Off the Sidelines. Pitcher, but sometimes left fielder. Democrat.",1021063,505,2009-09-07 03:53:24,New York
SenatorTomUdall,Tom Udall,60828944,United States Senator from New Mexico.,139441,339,2009-07-28 06:10:29,Santa Fe and Washington
RepHankJohnson,Rep. Hank Johnson,24745957,"I fight for justice, civil rights and working people.",28382,769,2009-03-16 18:52:49,"Lithonia, GA; Washington"
BoldProgressive,BoldProgressives.org,25704351,Progressive Change Campaign Committee (PCCC). Over 1 million members and growing. We support bold candidates and organize for progressive priorities. #p2,62185,3873,2009-03-21 18:00:46,USA
MarkWarner,Mark Warner,7429102,"Serving Virginia in the US Senate. Vice Chairman, Intel Committee. Dad, Husband, Budget Wonk. Previous: Serial entrepreneur, business guy, 69th Governor of Va",327822,16726,2007-07-12 14:03:33,Virginia
peta,PETA,9890492,"Breaking animal news, #vegan recipes, rescues, & more from the largest animal rights organization in the world.",1056136,4772,2007-11-02 16:29:30,"Los Angeles, CA / Norfolk, VA"
RepEspaillat,Adriano Espaillat,817076257770835968,U. S. Representative proudly serving New York’s 13th Congressional District. Follow my work in Washington and #NY13,7280,1048,2017-01-05 18:32:15,https://www.facebook.com/Congr
MoveOn,MoveOn.org,26657119,"America's largest independent online political group, with millions of members fighting to make our voices heard in our democracy and win progressive change.",285862,2297,2009-03-26 01:43:36,USA
JeanneShaheen,Jeanne Shaheen,14125897,U.S. Senator from New Hampshire. This is the Twitter account of Shaheen for Senate.,13826,3277,2008-03-11 17:48:18,New Hampshire
RepSeanMaloney,Sean Patrick Maloney,1072467470,Proud to represent New York's 18th Congressional District,24763,929,2013-01-09 01:00:33,"Cold Spring, NY"
BettyMcCollum04,Rep. Betty McCollum,516880804,Proudly representing Minnesota's Fourth District in the United States House of Representatives.,22267,1026,2012-03-06 20:52:11,Minnesota
SenFranken,Sen. Al Franken,171968009,Official account of U.S. Senator Al Franken of Minnesota.,384440,1124,2010-07-28 16:11:35,
maziehirono,Senator Mazie Hirono,92186819,U.S. Senator Mazie K. Hirono - Proudly Serving the People of Hawaii,183830,1242,2009-11-24 03:10:37,Hawaii
SenWhitehouse,Sheldon Whitehouse,242555999,"U.S. Senator from Rhode Island, the Ocean State.",210113,1586,2011-01-25 01:52:03,Rhode Island
RepSires,Albio Sires,18696134,U.S. Representative for New Jersey's 8th Congressional District,16051,251,2009-01-06 21:22:37,"Washington, DC"
RepBrendanBoyle,US Rep Brendan Boyle,231108733,"Congressman from Pennsylvania. Proudly representing Philadelphia and Montco. Notre Dame & Harvard alum. Husband, dad and eternally hopeful Philly sports fan.",12350,1213,2010-12-27 16:31:09,Philadelphia and Washington
WydenPress,WydenPress,292495654,"Official account of U.S. Senator @RonWyden's (D-Ore.) press office. Tweets managed by staff, hence editorial flair.",13584,667,2011-05-03 18:58:04,"Washington, DC & Oregon"
SenatorBaldwin,Sen. Tammy Baldwin,1074518754,"Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin. Tweets from Tammy are signed -TB.",85689,2679,2013-01-09 18:29:44,"Washington, D.C."
